time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2020/10/23/20:07:57.011083,340,1603480076,977617908,map,-0.0027648242577,0.00532011151308,-0.00190001442636,-0.000921610619516,-0.00134277342748,-0.00258085618664,0.999995343377
2020/10/23/20:07:57.043769,341,1603480077,10918908,map,-0.00276622503491,0.00532560229309,-0.00189469447291,-0.000921610646981,-0.0013427734675,-0.00259237812104,0.999995313573
2020/10/23/20:07:57.077277,342,1603480077,43936908,map,-0.00276724948975,0.00532894760378,-0.00189465652152,-0.000921610646981,-0.0013427734675,-0.00259237812104,0.999995313573
2020/10/23/20:07:57.110700,343,1603480077,77391908,map,-0.00276488856179,0.00532432287924,-0.00189527885571,-0.000929659793784,-0.00134831058572,-0.00258085614818,0.999995328475
2020/10/23/20:07:57.149322,344,1603480077,110855908,map,-0.00277192900789,0.00532987475388,-0.00189459539221,-0.000921610612649,-0.00133721330537,-0.00260956511667,0.999995276321
2020/10/23/20:07:57.178343,345,1603480077,143923908,map,-0.00276850414602,0.00532379955048,-0.00189381763878,-0.000921610619516,-0.00134277342748,-0.00258085618664,0.999995343377
2020/10/23/20:07:57.214731,346,1603480077,177612908,map,-0.00276160776447,0.00532173603779,-0.00189318828879,-0.000921610646982,-0.0013427734675,-0.00256928295049,0.999995373178
2020/10/23/20:07:57.243893,347,1603480077,210901908,map,-0.00276665830104,0.00532156050217,-0.00189944873318,-0.000921610653848,-0.00134831065603,-0.00258662373083,0.999995321024
2020/10/23/20:07:57.277363,348,1603480077,244047908,map,-0.00276363845519,0.00531770288946,-0.0018978818169,-0.000929659786857,-0.00134277339747,-0.00258662357665,0.999995321024
2020/10/23/20:07:57.310365,349,1603480077,277494908,map,-0.00276120728765,0.00531416445965,-0.00189405732963,-0.000929659786858,-0.00134277339747,-0.00256347648608,0.99999538063
2020/10/23/20:07:57.348176,350,1603480077,310877908,map,-0.00276690145413,0.00531424790614,-0.00189524136663,-0.000929659800711,-0.00134831059576,-0.00257796767049,0.999995335926
2020/10/23/20:07:57.377454,351,1603480077,344132908,map,-0.00276934799234,0.00531859874733,-0.00189573732137,-0.000921610646981,-0.0013427734675,-0.00259237812104,0.999995313573
2020/10/23/20:07:57.410911,352,1603480077,377437908,map,-0.00276586113928,0.00532005339858,-0.00188801295605,-0.000921610598916,-0.00133162989036,-0.00259525041741,0.999995321025
2020/10/23/20:07:57.444267,353,1603480077,410979908,map,-0.00276559993083,0.00531789124005,-0.00188953398906,-0.000929659800711,-0.00134831059576,-0.00257796767049,0.999995335926
2020/10/23/20:07:57.477180,354,1603480077,444245908,map,-0.00276777585573,0.00531544536354,-0.00188902796601,-0.000929659786857,-0.00134277339747,-0.00258662357665,0.999995321024
2020/10/23/20:07:57.511139,355,1603480077,477266908,map,-0.00275068294043,0.00526401460173,-0.00184392757617,-0.000991703964572,-0.00142357222191,-0.002682771128,0.999994896339
2020/10/23/20:07:57.544002,356,1603480077,510993908,map,-0.00271924826565,0.0051960417629,-0.00181868625096,-0.000999188546048,-0.001519763189,-0.00298511222514,0.999993890505
2020/10/23/20:07:57.577398,357,1603480077,544212908,map,-0.00272817696371,0.00515446782122,-0.00172885141273,-0.00094555262259,-0.00155848943383,-0.00328910986786,0.999992929374
2020/10/23/20:07:57.611095,358,1603480077,577396908,map,-0.00257362564318,0.00512328177696,-0.00173947408102,-0.000863167457257,-0.00168704532548,-0.00341578829092,0.999992370576
2020/10/23/20:07:57.643872,359,1603480077,610782908,map,-0.00235491154038,0.00506684184065,-0.00171184328716,-0.000863167437964,-0.00150992636449,-0.00352104605677,0.99999228862
2020/10/23/20:07:57.678370,360,1603480077,644225908,map,-0.0019669940951,0.004966195822,-0.00170279620127,-0.000836871951017,-0.00158221211833,-0.00362735816648,0.999991819228
2020/10/23/20:07:57.711013,361,1603480077,677380908,map,-0.00137702066282,0.00478362083424,-0.00170305560455,-0.000781631382385,-0.0016240398278,-0.00370056295791,0.999991528655
2020/10/23/20:07:57.744418,362,1603480077,710904908,map,-0.00087699771355,0.0046314483881,-0.00168966800863,-0.00070124054444,-0.00169585491325,-0.00381359848084,0.999991044362
2020/10/23/20:07:57.777849,363,1603480077,744262908,map,-0.000393799876546,0.00446230351931,-0.00168067050672,-0.000722177744863,-0.00170898440039,-0.00390434224371,0.999990656928
2020/10/23/20:07:57.811090,364,1603480077,777414908,map,0.000150797186484,0.00432448327525,-0.00168991255537,-0.000622438897852,-0.00185128787559,-0.00400048069263,0.99999009068
2020/10/23/20:07:57.844920,365,1603480077,810904908,map,0.000642700008837,0.00424247562858,-0.00167335362768,-0.00065736873256,-0.00193780611164,-0.00424446718005,0.999988898574
2020/10/23/20:07:57.877359,366,1603480077,844377908,map,0.000977790720742,0.00416503280383,-0.00169005217443,-0.000634295895702,-0.00192623693254,-0.00441145271801,0.999988213113
2020/10/23/20:07:57.910830,367,1603480077,877267908,map,0.00137847620839,0.00409401655198,-0.00157057602069,-0.000657368761935,-0.00197588076169,-0.00455601992589,0.999987453143
2020/10/23/20:07:57.945330,368,1603480077,910992908,map,0.00189330257394,0.0040556016562,-0.00158850072492,-0.000622438893183,-0.00216309139305,-0.0048321959409,0.999985791643
2020/10/23/20:07:57.977632,369,1603480077,944248908,map,0.00258986211127,0.00397673100246,-0.00154934653888,-0.000598019965063,-0.00220403675627,-0.00496302533922,0.999985076375
2020/10/23/20:07:58.010941,370,1603480077,977426908,map,0.00325775490309,0.0039295148846,-0.00152150182847,-0.000532092157416,-0.002296739172,-0.00522483726056,0.999983571336
2020/10/23/20:07:58.044652,371,1603480078,10785908,map,0.00408240422358,0.00388734072469,-0.00151272224762,-0.000422863962187,-0.00235756930753,-0.00541254881993,0.999982483531
2020/10/23/20:07:58.077355,372,1603480078,44338908,map,0.00503950821523,0.00385286480183,-0.00153005752657,-0.000488281257203,-0.0022673553656,-0.00541117189984,0.9999826698
2020/10/23/20:07:58.110687,373,1603480078,77299908,map,0.00615715820995,0.00351307362288,-0.00138867767636,-0.00051790043172,-0.00207160172688,-0.00540841723125,0.999983094491
2020/10/23/20:07:58.144135,374,1603480078,110926908,map,0.00684820221198,0.00343596696873,-0.00136926965365,-0.000422863974773,-0.00250467341362,-0.00572820727522,0.999980367527
2020/10/23/20:07:58.177151,375,1603480078,144353908,map,0.00783972911463,0.0033310729265,-0.00134020089824,-0.000472776307687,-0.0024867614631,-0.00583899448825,0.999979749117
2020/10/23/20:07:58.211185,376,1603480078,177458908,map,0.00880272654576,0.0032537090782,-0.00130350710981,-0.000322967687548,-0.00262947502775,-0.00598767040504,0.999978564448
2020/10/23/20:07:58.244041,377,1603480078,210907908,map,0.00978439687117,0.00319420695355,-0.00126944070549,-0.000366210948321,-0.00258950244836,-0.00616787392245,0.999977558597
2020/10/23/20:07:58.277660,378,1603480078,244321908,map,0.0107020457418,0.00316674470916,-0.00124578625625,-0.000366210940132,-0.00258950239046,-0.00624828324487,0.999977059399
2020/10/23/20:07:58.310615,379,1603480078,277592908,map,0.0117136689939,0.00303573370043,-0.0011832008046,-0.000422863974742,-0.00255182441449,-0.00627446197828,0.999976969987
2020/10/23/20:07:58.344283,380,1603480078,310714908,map,0.0127507483565,0.00296233296426,-0.00109775147094,-0.000366210948291,-0.00267163928089,-0.00667268104024,0.999974101445
2020/10/23/20:07:58.377905,381,1603480078,344227908,map,0.0135140120348,0.00291581332684,-0.00102114082289,-0.000172633493623,-0.00283928316986,-0.00692796075602,0.999971955621
2020/10/23/20:07:58.411467,382,1603480078,377382908,map,0.0144183749196,0.00289509624219,-0.000960168818135,-0.000244140624905,-0.0028471443791,-0.0069096540074,0.999972045032
2020/10/23/20:07:58.444227,383,1603480078,410737908,map,0.0154315921452,0.00288107156803,-0.000894021098091,-0.000345266989811,-0.00263230698567,-0.00710319195033,0.999971247794
2020/10/23/20:07:58.477989,384,1603480078,444325908,map,0.0163564347923,0.00287903666481,-0.000836090709432,-0.000299009993564,-0.00287319397975,-0.00727317818693,0.999969377645
2020/10/23/20:07:58.515221,385,1603480078,477662908,map,0.0172205782548,0.00284988910046,-0.000695463735819,-0.000172633498749,-0.00285498442238,-0.00741621150695,0.999968409035
2020/10/23/20:07:58.544829,386,1603480078,510732908,map,0.018468670817,0.00284029394401,-0.000620677046365,-0.000299009989084,-0.00280761718595,-0.00764378532346,0.999966799661
2020/10/23/20:07:58.577477,387,1603480078,544228908,map,0.0192734783786,0.00275526821719,-0.00049716405828,-0.000345266987163,-0.00302970557929,-0.00785435014031,0.999964504799
2020/10/23/20:07:58.610947,388,1603480078,577624908,map,0.0199044925596,0.00281745284742,-0.000451743760433,-0.000211431979396,-0.00318788201314,-0.00815864465532,0.999961613874
2020/10/23/20:07:58.644297,389,1603480078,610666908,map,0.0214134275038,0.0027523112298,-0.000337711848539,-0.000244140628465,-0.00284452647282,-0.00819509208657,0.999962344056
2020/10/23/20:07:58.681794,390,1603480078,644253908,map,0.0226852097074,0.00273010611594,-0.000215589720211,-0.000244140632079,-0.00301985288414,-0.00842550514483,0.99995991507
2020/10/23/20:07:58.711196,391,1603480078,677579908,map,0.0235847435848,0.00274456649992,-0.000149296844082,-0.000272957530734,-0.0031502657786,-0.00846080233426,0.99995920724
2020/10/23/20:07:58.744363,392,1603480078,710870908,map,0.0248348566706,0.00254535824116,1.6591082367e-05,-0.000272957530723,-0.00337850407881,-0.0084854237097,0.999958253523
2020/10/23/20:07:58.777416,393,1603480078,744130908,map,0.0258384790583,0.00250324264263,4.7755395829e-05,-0.000299009993409,-0.00370659824031,-0.0086506438714,0.999955668059
2020/10/23/20:07:58.811012,394,1603480078,777522908,map,0.0269575408123,0.00246767014238,0.000104025632061,0.0,-0.00336745968124,-0.00875934225604,0.9999559661
2020/10/23/20:07:58.843722,395,1603480078,810769908,map,0.0283618648024,0.00235823109731,0.000361207447308,-0.000122070314193,-0.00344186327536,-0.00889858243288,0.999954475917
2020/10/23/20:07:58.877553,396,1603480078,844143908,map,0.0296803514466,0.0022289179275,0.000434933235198,-0.000211431988755,-0.00383697117618,-0.00905215407081,0.999951644559
2020/10/23/20:07:58.910340,397,1603480078,877729908,map,0.0312533236984,0.00206265971012,0.000494959920391,-0.000172633485771,-0.0036088246272,-0.00915934130727,0.99995152535
2020/10/23/20:07:58.944093,398,1603480078,910612908,map,0.0326551744681,0.00198698639894,0.000590901193436,-0.000172633484462,-0.00401535248197,-0.00927654073046,0.999948895161
2020/10/23/20:07:58.977486,399,1603480078,944313908,map,0.0347089939091,0.00195573031827,0.000543043833434,0.0,-0.00393854115958,-0.00924758118711,0.999949483792
2020/10/23/20:07:59.011259,400,1603480078,977635908,map,0.0366091943956,0.00180719494702,0.000571751601914,0.0,-0.00363146336732,-0.00935412255409,0.999949655165
2020/10/23/20:07:59.044487,401,1603480079,10762908,map,0.0382195314487,0.00167501196314,0.000696391412983,0.0,-0.00361913250474,-0.00947677701234,0.999948544965
2020/10/23/20:07:59.077392,402,1603480079,44220908,map,0.0395012280708,0.00161255299903,0.000754624958347,0.0,-0.00397806881588,-0.00965976498602,0.999945430466
2020/10/23/20:07:59.110577,403,1603480079,77572908,map,0.0410965146469,0.001512125284,0.000771201806272,0.000122070310484,-0.00404124653742,-0.00986355340579,0.999943180255
2020/10/23/20:07:59.143957,404,1603480079,110879908,map,0.0429035967715,0.00145084768713,0.000830457865875,0.0,-0.00396681591087,-0.00996126735649,0.99994251711
2020/10/23/20:07:59.178218,405,1603480079,144199908,map,0.0448759142777,0.00137462541467,0.000884123766867,0.0,-0.00384473046002,-0.0100268706523,0.999942338294
2020/10/23/20:07:59.211564,406,1603480079,177585908,map,0.04667895899,0.00128701314232,0.000960387464237,0.0,-0.00407977910674,-0.0101281580512,0.999940386132
2020/10/23/20:07:59.244167,407,1603480079,210783908,map,0.0482353427222,0.00123344063626,0.00100177240093,0.0,-0.00378221037094,-0.0102836535293,0.999939968876
